N. Instance,Solution Status,Height,Time,N. Failures
1,OPTIMAL_SOLUTION,8,0.004,1
2,OPTIMAL_SOLUTION,9,0.003,5
3,OPTIMAL_SOLUTION,10,0.003,9
4,OPTIMAL_SOLUTION,11,0.006,30
5,OPTIMAL_SOLUTION,12,0.017,1081
6,OPTIMAL_SOLUTION,13,0.005,44
7,OPTIMAL_SOLUTION,14,0.005,24
8,OPTIMAL_SOLUTION,15,0.007,102
9,OPTIMAL_SOLUTION,16,0.111,8308
10,OPTIMAL_SOLUTION,17,0.227,12744
11,OPTIMAL_SOLUTION,18,4.551,269265
12,OPTIMAL_SOLUTION,19,0.566,26846
13,OPTIMAL_SOLUTION,20,87.485,4949083
14,UNKNOWN,,,
15,OPTIMAL_SOLUTION,22,0.275,11863
16,UNKNOWN,,,
17,UNKNOWN,,,
18,UNKNOWN,,,
19,UNKNOWN,,,
20,UNKNOWN,,,
21,UNKNOWN,,,
22,UNKNOWN,,,
23,UNKNOWN,,,
24,UNKNOWN,,,
25,UNKNOWN,,,
26,UNKNOWN,,,
27,UNKNOWN,,,
28,UNKNOWN,,,
29,UNKNOWN,,,
30,UNKNOWN,,,
31,UNKNOWN,,,
32,UNKNOWN,,,
33,UNKNOWN,,,
34,OPTIMAL_SOLUTION,40,0.009,51
35,OPTIMAL_SOLUTION,40,0.009,52
36,OPTIMAL_SOLUTION,40,0.01,73
37,OPTIMAL_SOLUTION,60,0.009,41
38,OPTIMAL_SOLUTION,60,0.009,55
39,OPTIMAL_SOLUTION,60,0.008,46
40,UNKNOWN,,,
